product_name,category,price,quantity_in_stock,quantity_sold,brand,rating,num_of_ratings,date_added,color,revenue
"iPad mini (2021) (64GB, Blue)",Tablets,499,266,185,Apple,8.75,151,2/2/2022,blue,92315
K55 RGB (Red),Keyboards,49.99,0,561,Corsair,8.5,455,8/14/2022,red,28044.39
Fenix 7 (Purple),Watches,699.99,0,374,Garmin,9.2,305,4/20/2022,purple,261796.26
"Mate 40 (256GB, Orange)",Smartphones,899,182,615,Huawei,8.5,500,10/23/2024,orange,552885
Rival 600 (Red),Mice,79.99,35,698,SteelSeries,9.25,556,9/29/2020,red,55833.02
Technic Bugatti Chiron (42083) (Gray),Toys,349.99,139,223,LEGO,9.2,177,7/28/2023,gray,78047.77
"MediaPad T5 (64GB, Brown)",Tablets,220,0,667,Huawei,7.8,541,2/6/2025,brown,146740
"Manchester United Home Jersey (Orange, M)",Clothing,90,425,261,Adidas,8.75,211,11/9/2022,orange,23490
Little People School Bus (White),Toys,15.99,0,69,Fisher-Price,8.75,55,3/12/2025,white,1103.31
"MatePad T10s (512GB, Yellow)",Tablets,250,19,440,Huawei,7.5,337,3/26/2021,yellow,110000
Sculpt Comfort Mouse (White),Mice,29.99,365,422,Microsoft,8.5,326,10/3/2022,white,12655.78
"Urbanite XL (Wired, White)",Headphones,79.99,447,248,Sennheiser,8.6,199,9/22/2023,red,19837.52
Natural Ergonomic Keyboard 4000 (Green),Keyboards,49.99,251,123,Microsoft,8.2,95,5/19/2024,green,6148.77
"Workout Plus (Brown, EU 46)",Shoes,70,248,8,Reebok,8.5,7,2/26/2020,brown,560
XEGS (White),Gaming Consoles,200,443,730,Atari,6.5,561,3/22/2023,white,146000
Rival 3 (Blue),Mice,29.99,0,484,SteelSeries,8.75,377,6/8/2020,blue,14515.16
BCI600XL Smart Scoop (Yellow),Kitchen,299.95,38,559,Breville,8.75,439,8/15/2022,yellow,167672.05
Lancehead TE (Green),Mice,79.99,7,12,Razer,8.75,8,10/1/2023,green,959.88
G502 HERO (Red),Mice,49.99,20,807,Logitech,9.25,630,4/29/2021,red,40341.93
Switch OLED (Red),Gaming Consoles,350,0,194,Nintendo,9.2,152,5/14/2020,red,67900
"iPad Pro 11 (2018) (128GB, Purple)",Tablets,699,172,862,Apple,8.5,698,4/30/2021,purple,602538
BlackWidow Elite (Blue),Keyboards,129.99,0,429,Razer,8.75,346,5/9/2021,blue,55765.71
Laugh & Learn Smart Stages Chair (Gray),Toys,39.99,51,500,Fisher-Price,8.5,401,8/3/2022,gray,19995
"65R635 (65"", Gray frame)",TVs,899,410,327,TCL,8.75,259,7/8/2023,gray,293973
Wii (Red),Gaming Consoles,150,0,13,Nintendo,8.75,11,4/23/2022,red,1950
"Elite 65t (Wired, Gray)",Headphones,69.99,301,846,Jabra,8.5,680,2/6/2023,red,59211.54
Lark Manor End Table (White),Furniture,150,71,690,Wayfair,7.8,564,3/26/2025,white,103500
"G3 15 (512GB, Gray)",Laptops,950,0,104,Dell,7.85,73,3/21/2020,gray,98800
"ExpertBook B9 (512GB, Gray)",Laptops,1700,0,46,Asus,8.7,39,7/18/2025,gray,78200
"1080v11 (Red, EU 39)",Shoes,160,490,207,New Balance,8.75,166,6/30/2020,red,33120
"Bravia X950H (55"", Orange frame)",TVs,1299,452,489,Sony,8.75,396,4/29/2021,orange,635211
"Tiro 21 Track Pants (White, XL)",Clothing,45,298,961,Adidas,8.8,761,2/1/2022,white,43245
All-in-One Media Keyboard (Gray),Keyboards,39.99,0,591,Microsoft,8.2,485,3/29/2025,gray,23634.09
"P30 Pro (64GB, Brown)",Smartphones,499,312,299,Huawei,8.75,246,4/22/2021,brown,149201
"AirPods (1st generation) (Wireless, Orange)",Headphones,99,229,233,Apple,7.8,200,9/29/2025,orange,23067
Little People Caring for Animals Farm (Brown),Toys,44.99,0,59,Fisher-Price,9.3,46,9/24/2020,brown,2654.41
"ENVY 15 (256GB, Purple)",Laptops,899,89,572,HP,8.5,466,1/16/2024,purple,514228
K400 Plus (Blue),Keyboards,30,0,223,Logitech,8.5,169,7/2/2022,blue,6690
